#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
רגש;ר.ג.ש;regeš;emoce / cit;רגש חזק;podst_jméno psychologie lekce004
תחושה;ח.ו.ש;tchuša;pocit / vjem;תחושה של חופש;podst_jméno psychologie lekce004
דיכאון;ד.כ.א;dikaon;deprese;הוא סובל מדיכאון;podst_jméno psychologie lekce004
חרדה;ח.ר.ד;charada;úzkost / strach;התקף חרדה;podst_jméno psychologie lekce004
מודעות;י.ד.ע;muda'ut;povědomí / uvědomění;מודעות עצמית;podst_jméno psychologie lekce004
ביטחון;ב.ט.ח;bitachon;bezpečí / sebevédomí;ביטחון עצמי;podst_jméno psychologie lekce004
אושר;א.ש.ר;ošer;štěstí;אושר אמיתי;podst_jméno psychologie lekce004
סבל;ס.ב.ל;sevel;utrpení;סבל פיזי;podst_jméno psychologie lekce004
זיכרון;ז.כ.ר;zikaron;paměť / vzpomínka;זיכרון לטווח ארוך;podst_jméno psychologie lekce004
השפעה;ש.פ.ע;hašpa'a;vliv / dopad;השפעה חיובית;podst_jméno psychologie lekce004
