#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
סבבה;---;sababa;v pohodě / OK;הכל סבבה;příslovce slang lekce007
פדיחה;---;fadicha;trapas / ostuda;הייתה לי פדיחה;podst_jméno slang lekce007
אשכרה;---;aškara;fakt / vážně;הוא אשכרה אמר את זה;příslovce slang lekce007
תכלס;---;tachles;vlastně / k věci;תכלס, אתה צודק;příslovce slang lekce007
בקטנה;ק.ט.נ;bektana;v pohodě / maličkost;עזוב, זה בקטנה;fráze slang lekce007
אחלה;---;achla;skvělý / super;אחלה יום שיהיה לך;příd_jméno slang lekce007
כאילו;כ.א.ל;ke'ilu;jako / jakoby;זה כאילו חלום;příslovce slang lekce007
נראה לי;ר.א.ה;nir'e li;zdá se mi / myslím;נראה לי שזה נכון;fráze slang lekce007
יאללה;---;jalla;tak pojď / šup;יאללה, בוא נלך;fráze slang lekce007
מביך;ב.ו.ך;mevich;trapný;סיטואציה מביכה;příd_jméno slang lekce007
