#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
לפרסם;פ.ר.ס.ם;lefarsem;publikovat / zveřejnit;פורסם כי הממשלה החליטה;sloveso média lekce001
ממשלה;מ.ש.ל;memšala;vláda;הממשלה החליטה להשקיע;podst_jméno média lekce001
להשקיע;ש.ק.ע;lehaškia;investovat;להשקיע משאבים נוספים;sloveso média lekce001
משאבים;ש.א.ב;mašavim;zdroje;משאבים כלכליים;podst_jméno média lekce001
תשתית;ש.ת.ת;taštit;infrastruktura;שיפור התשתיות;podst_jméno média lekce001
ממונה;מ.נ.ה;memune;pověřený / odpovědný;השר הממונה על הפרויקט;příd_jméno média lekce001
מהלך;ה.ל.ך;mahalach;krok / proces / tah;המהלך נועד לחזק;podst_jméno média lekce001
נועד;י.ע.ד;no'ad;určen k / má za cíl;הפרויקט נועד לתושבים;sloveso média lekce001
כלכלה;כ.ל.כ.ל;kalkala;ekonomika;הכלכלה המקומית חזקה;podst_jméno média lekce001
תושב;י.ש.ב;tošav;obyvatel;התושבים גרים בצפון;podst_jméno média lekce001
