#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
ראיון;ר.א.ה;reajon;pohovor;ראיון עבודה;podst_jméno práce lekce003
קו"ח;ח.י.ה;korot chajim;životopis (CV);שלחתי קו"ח;fráze práce lekce003
מעסיק;ע.ס.ק;ma'asik;zaměstnavatel;המעסיק שלי נחמד;podst_jméno práce lekce003
ניסיון;נ.ס.ה;nisajon;zkušenost;יש לי ניסיון רב;podst_jméno práce lekce003
משרה;ש.ר.ה;misra;pracovní pozice;משרה מלאה;podst_jméno práce lekce003
להתפטר;פ.ט.ר;lehitpater;dát výpověď;החלטתי להתפטר;sloveso práce lekce003
חוזה;ח.ז.ה;choze;smlouva;חתמנו על חוזה;podst_jméno práce lekce003
משכורת;ש.כ.ר;maschoret;plat / mzda;משכורת גבוהה;podst_jméno práce lekce003
הטבות;ט.ו.ב;hatavot;benefity;הטבות סוציאליות;podst_jméno práce lekce003
לקדם;ק.ד.ם;lekadem;povýšit / propagovat;הבוס רוצה לקדם אותי;sloveso práce lekce003
