#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
חוק;ח.ק.ק;chok;zákon;לשמור על החוק;podst_jméno právo lekce005
זכות;ז.כ.ה;zchut;právo (nárok);זכות הדיבור;podst_jméno právo lekce005
חובה;ח.ו.ב;chova;povinnost;חובות האזרח;podst_jméno právo lekce005
שופט;ש.פ.ט;šofet;soudce;השופט נתן פסק דין;podst_jméno právo lekce005
עורך דין;ע.ר.ך;orech din;advokát / právník;עורך דין פלילי;podst_jméno právo lekce005
אשם;א.ש.ם;ašam;vinný;הוא נמצא אשם;příd_jméno právo lekce005
עדות;ע.ו.ד;edut;svědectví;עדות בבית המשפט;podst_jméno právo lekce005
ראיה;ר.א.ה;reaja;důkaz;יש ראיות חזקות;podst_jméno právo lekce005
צדק;צ.ד.ק;cedek;spravedlnost;מערכת הצדק;podst_jméno právo lekce005
זכאי;ז.כ.ה;zakai;nevinný / oprávněný;הנאשם נמצא זכאי;příd_jméno právo lekce005
