#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
שבת;ש.ב.ת;šabat;šabat;שבת שלום;podst_jméno rodina lekce020
ארוחת ערב;---;aruchat erev;večeře;ארוחת ערב משפחתית;fráze rodina lekce020
צבא;צ.ב.א;cava;armáda;שירות בצבא;podst_jméno rodina lekce020
שלום;ש.ל.מ;šalom;mír / pokoj;שלום עכשיו;podst_jméno rodina lekce020
חלום;ח.ל.מ;chalom;sen;יש לי חלום;podst_jméno rodina lekce020
משפחה;ש.פ.ח;mišpacha;rodina;משפחה חמה;podst_jméno rodina lekce020
ילדות;י.ל.ד;jaldut;dětství;זיכרון ילדות;podst_jméno rodina lekce020
תקווה;ק.ו.ה;tikva;naděje;התקווה לשלום;podst_jméno rodina lekce020
קשר;ק.ש.ר;kešer;spojení / vztah;קשר הדוק;podst_jméno rodina lekce020
עתיד;---;atid;budoucnost;עתיד ורוד;podst_jméno rodina lekce020
