#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
מלחמה;מ.ל.ח.מ;milchama;válka;מלחמה בחזית;podst_jméno válka lekce014
ביטחון;ב.ט.ח;bitachon;bezpečnost;המצב הביטחוני;podst_jméno válka lekce014
צה"ל;---;cahal;Izraelské obranné síly;שירות בצה"ל;podst_jméno válka lekce014
כיפת ברזל;---;kipat barzel;Železná kopule;מערכת כיפת ברזל;fráze válka lekce014
אזעקה;ז.ע.ק;az'aka;siréna / poplach;נשמעה אזעקה;podst_jméno válka lekce014
חוסן;ח.ס.נ;chosen;odolnost / resilience;חוסן לאומי;podst_jméno válka lekce014
איום;א.י.מ;ijum;hrozba;איום קיומי;podst_jméno válka lekce014
להגן;ג.נ.נ;lehagen;bránit;להגן על העורף;sloveso válka lekce014
חזית;ח.ז.ת;chazit;fronta;חיילים בחזית;podst_jméno válka lekce014
עורף;ע.ר.פ;oref;zázemí / týl;הגנת העורף;podst_jméno válka lekce014
