#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
נוף;נ.ו.ף;nof;výhled / krajina;נוף מרהיב;podst_jméno příroda lekce009
מסלול;ס.ל.ל;maslul;trasa / cesta;מסלול הליכה;podst_jméno příroda lekce009
שמורה;ש.מ.ר;šmura;rezervace;שמורת טבע;podst_jméno příroda lekce009
סביבה;ס.ב.ב;sviva;prostředí;איכות הסביבה;podst_jméno příroda lekce009
זיהום;ז.ה.ם;zihum;znečištění;זיהום אוויר;podst_jméno příroda lekce009
שימור;ש.מ.ר;šimur;ochrana / konzervace;שימור הטבע;podst_jméno příroda lekce009
חופש;ח.פ.ש;chofeš;svoboda / volno;לצאת לחופש;podst_jméno příroda lekce009
הרפתקה;---;harpatka;dobrodružství;הרפתקה גדולה;podst_jméno příroda lekce009
אתר;---;atar;místo / památka;אתר מורשת;podst_jméno příroda lekce009
מדריך;ד.ר.ך;madrich;průvodce;מדריך טיולים;podst_jméno příroda lekce009
