#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
מדבר;ד.ב.ר;midbar;poušť;טיול בממדר;podst_jméno příroda lekce018
ים המלח;---;jam hamelach;Mrtvé moře;לצוף בים המלח;fráze příroda lekce018
גשם;ג.ש.מ;gešem;déšť;גשם ראשון;podst_jméno příroda lekce018
שרב;ש.ר.ב;šarav;horko / veda;יום שרב כבד;podst_jméno příroda lekce018
עונה;---;ona;roční období;עונת המעבר;podst_jméno příroda lekce018
לחות;ל.ח.ת;lachut;vlhkost;לחות גבוהה;podst_jméno příroda lekce018
שלג;ש.ל.ג;šeleg;sníh;שלג בחרמון;podst_jméno příroda lekce018
רוח;ר.ו.ח;ruach;vítr;רוח חזקה;podst_jméno příroda lekce018
חקלאות;ח.ק.ל;chakla'ut;zemědělství;פיתוח החקלאות;podst_jméno příroda lekce018
שמש;ש.מ.ש;šemeš;slunce;שמש חזקה;podst_jméno příroda lekce018
