#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
חומוס;---;chumus;hummus;חומוס טעים מאוד;podst_jméno jídlo lekce015
פיתה;---;pita;pita;פיתה חמה מהתנור;podst_jméno jídlo lekce015
תבלין;ב.ל.נ;tavlin;koření;תבלינים מהשוק;podst_jméno jídlo lekce015
מטבח;ט.ב.ח;mitbach;kuchyně;מטבח ישראלי;podst_jméno jídlo lekce015
אירוח;ר.ו.ח;iruach;pohostinnost;מנהגי אירוח;podst_jméno jídlo lekce015
טעים;ט.ע.מ;ta'im;chutný;אוכל טעים;příd_jméno jídlo lekce015
בשלן;ב.ש.ל;bašlan;kuchař;הוא בשלן מצוין;podst_jméno jídlo lekce015
מתכון;כ.ו.נ;matkon;recept;מתכון סודי;podst_jméno jídlo lekce015
טרי;ט.ר.י;tari;čerstvý;ירקות טריים;příd_jméno jídlo lekce015
ארוחה;א.ר.ח;arucha;jídlo / chod;ארוחת ערב;podst_jméno jídlo lekce015
