#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
עיר עתיקה;---;ir atika;Staré Město;טיול בעיר העתיקה;fráze historie lekce016
הכותל המערבי;---;hakotel hama'aravi;Zeď nářků;תפילה בכותל;fráze historie lekce016
ארכיאולוגיה;---;archeologija;archeologie;חפירות ארכיאולוגיות;podst_jméno historie lekce016
קדוש;ק.ד.ש;kadoš;svatý;מקום קדוש;příd_jméno historie lekce016
אתר;---;atar;místo / lokalita;אתר מורשת עולמי;podst_jméno historie lekce016
חומות;ח.ו.מ;chomot;hradby;חומות ירושלים;podst_jméno historie lekce016
דו-קיום;---;du-kijum;koexistence;דו-קיום בירושלים;podst_jméno historie lekce016
היסטוריה;---;istorija;historie;שיעור היסטוריה;podst_jméno historie lekce016
מקדש;ק.ד.ש;mikdaš;chrám;בית המקדש;podst_jméno historie lekce016
תפילה;פ.ל.ל;tfila;modlitba;סידור תפילה;podst_jméno historie lekce016
