#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
לפתח;פ.ת.ח;lefateach;vyvíjet / rozvíjet;לפתח טכנולוגיה חדשה;sloveso technologie lekce002
חדשני;ח.ד.ש;chadašani;inovativní;מוצר חדשני ומעניין;příd_jméno technologie lekce002
תחום;ת.ח.מ;tchum;obor / oblast;בתחום הבינה המלאכותית;podst_jméno technologie lekce002
בינה מלאכותית;---;bina melachutit;umělá inteligence;עתיד הבינה המלאכותית;fráze technologie lekce002
חברה;ח.ב.ר;chevra;společnost / firma;חברת סטארט-אפ;podst_jméno technologie lekce002
פתרון;פ.ת.ר;pitron;řešení;למצוא פתרון לבעיה;podst_jméno technologie lekce002
מוצר;י.צ.ר;mucar;produkt / výrobek;מוצר מוצלח מאוד;podst_jméno technologie lekce002
משתמש;ש.מ.ש;mištameš;uživatel;מיליוני משתמשים בעולם;podst_jméno technologie lekce002
פיתוח;פ.ת.ח;pituach;vývoj;מרכז פיתוח גדול;podst_jméno technologie lekce002
מוצלח;צ.ל.ח;muclach;úspěšný;פרויקט מוצלח ורווחי;příd_jméno technologie lekce002
