#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
מחקר;ח.ק.ר;mechkar;výzkum;מחקר מדעי;podst_jméno věda lekce010
השכלה;ש.כ.ל;haskala;vzdělání;השכלה גבוהה;podst_jméno věda lekce010
מיומנות;י.מ.נ;mejummanut;dovednost;מיומנויות למידה;podst_jméno věda lekce010
שיעור;ש.ע.ר;ši'ur;lekce / hodina;שיעור עברית;podst_jméno věda lekce010
מלגה;מ.ל.ג;milga;stipendium;קיבלתי מלגה;podst_jméno věda lekce010
מוסד;י.ס.ד;mosad;instituce / ústav;מוסד אקדמי;podst_jméno věda lekce010
תואר;ת.א.ר;to'ar;titul (akademický);תואר ראשון;podst_jméno věda lekce010
ידע;י.ד.ע;jeda;znalosti / vědění;ידע רב;podst_jméno věda lekce010
למידה;ל.מ.ד;lemida;učení se (proces);שיטות למידה;podst_jméno věda lekce010
גילוי;ג.ל.ה;giluj;objev;גילוי חדש;podst_jméno věda lekce010
