#Slovíčko;Kořen;Výslovnost;Význam;Příklad;Tag
חוף ים;---;chof jam;pláž;ללכת לחוף הים;fráze město lekce017
מועדון;ו.ע.ד;moadon;klub;ריקודים במועדון;podst_jméno město lekce017
סטארט-אפ;---;start-ap;startup;חברת סטארט-אפ;podst_jméno město lekce017
ללא הפסקה;---;lelo hafsaka;bez přestávky;עיר ללא הפסקה;fráze město lekce017
בילוי;ב.ל.ה;biluj;zábava;מקום בילוי;podst_jméno město lekce017
גורד שחקים;---;gored schakim;mrakodrap;גורדי שחקים בתל אביב;podst_jméno město lekce017
תוסס;ת.ס.ס;toses;živý / pulzující;חיים תוססים;příd_jméno město lekce017
תרבות;ר.ב.ה;tarbut;kultura;חיי תרבות;podst_jméno město lekce017
אופניים;---;ofanajim;jízdní kolo;לרכוב על אופניים;podst_jméno město lekce017
שוק;---;šuk;trh;לקנות פירות בשוק;podst_jméno město lekce017
